file,score,grade,issueCount,hardIssueCount,issueCodes,hardIssueCodes
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/__implementation_report.any.json,59,F,4,1,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|missing_config,missing_config
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/agents/excel_calc/quality/numeric_integrity_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/anti_robotic_style_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/citation_policy.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/clarification_prompts.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/empathy_and_support_language.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/followup_suggestions.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/format_guardrails.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/hedging_and_uncertainty_language.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/response_templates.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/table_render_policy.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/tone_profiles.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/verb_phrase_bank.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/verbosity_ladder.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/compose/voice_personality_profiles.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/accounting/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/accounting/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/banking/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/banking/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/billing/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/billing/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/education/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/education/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/everyday/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/everyday/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/finance/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/finance/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/housing/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/housing/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/hr_payroll/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/hr_payroll/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/identity/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/identity/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/insurance/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/insurance/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/legal/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/legal/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/legal/reasoning_scaffolds.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/medical/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/medical/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/ops/domain_detection_rules.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
/Users/pg/Desktop/koda-webapp/backend/src/data_banks/document_intelligence/domains/ops/evidence_requirements.any.json,61,F,6,0,missing__meta.owner|missing_or_empty__meta.usedBy|missing_or_empty__meta.tests|config.deterministic_not_true|config.dedupe_not_true|config.sortBy_missing,
